# PURPOSE: This file distributes the Kp index and ap index (one line per three-hour interval)
# LICENSE: CC BY 4.0
# SOURCE: Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences
# PLEASE CITE: Matzka, J., Stolle, C., Yamazaki, Y., Bronkalla, O. and Morschhauser, A., 2021. The geomagnetic Kp index 
# and derived indices of geomagnetic activity. Space Weather, https://doi.org/10.1029/2020SW002641
#
# Kp, ap and Ap
# The three-hourly equivalent planetary amplitude ap is derived from Kp and the daily equivalent planetary amplitude Ap is the daily mean of ap.
# Kp is unitless. Ap and ap are unitless and can be multiplied by 2 nT to yield the average geomagnetic disturbance at 50 degree geomagnetic latitude.
# Kp, ap and Ap were introduced by Bartels (1949, 1957) and are produced by Geomagnetic Observatory Niemegk, GFZ German Research Centre for Geosciences.
# Described in: Matzka et al. (2021), see reference above.
# Data publication: Matzka, J., Bronkalla, O., Tornow, K., Elger, K. and Stolle, C., 2021. Geomagnetic Kp index. V. 1.0. GFZ Data Services, 
# https://doi.org/10.5880/Kp.0001
#
# Short file description (for a detailed file description, see Kp_ap_Ap_SN_F107_format.txt):
# 30 header lines, all starting with #
# ASCII, blank separated and fixed length, missing data indicated by -1.000 for Kp and -1 for ap
# YYYY MM DD is date of UT day, hh.h is starting time in hours of interval for which Kp and ap are given
# hh._m is mid time in hours of interval for which Kp and ap are given 
# days is days since 1932-01-01 00:00 UT to start of interval, days_m is days since 1932-01-01 00:00 UT to mid of interval
# Kp, ap
# D indicates if the Kp and ap values are definitive (D = 1) or preliminary (D=0)
#
#
#
#
# The format for each line is (i stands for integer, f for float):
#iii ii ii ff.f ff.ff fffff.fffff fffff.fffff ff.fff iiii i
# The parameters in each line are:
#YYY MM DD hh.h hh._m        days      days_m     Kp   ap D
1940 08 12 06.0 07.50  3146.25000  3146.31250  3.000   15 1
1940 08 12 09.0 10.50  3146.37500  3146.43750  2.000    7 1
1940 08 12 12.0 13.50  3146.50000  3146.56250  2.000    7 1
1940 08 12 15.0 16.50  3146.62500  3146.68750  2.667   12 1
1940 08 12 18.0 19.50  3146.75000  3146.81250  1.667    6 1
1940 08 12 21.0 22.50  3146.87500  3146.93750  2.000    7 1
1940 08 13 00.0 01.50  3147.00000  3147.06250  2.667   12 1
1940 08 13 03.0 04.50  3147.12500  3147.18750  2.333    9 1
1940 08 13 06.0 07.50  3147.25000  3147.31250  2.000    7 1
1940 08 13 09.0 10.50  3147.37500  3147.43750  1.667    6 1
1940 08 13 12.0 13.50  3147.50000  3147.56250  1.333    5 1
1940 08 13 15.0 16.50  3147.62500  3147.68750  1.667    6 1
1940 08 13 18.0 19.50  3147.75000  3147.81250  1.000    4 1
1940 08 13 21.0 22.50  3147.87500  3147.93750  1.333    5 1
1940 08 14 00.0 01.50  3148.00000  3148.06250  1.333    5 1
1940 08 14 03.0 04.50  3148.12500  3148.18750  2.667   12 1
1940 08 14 06.0 07.50  3148.25000  3148.31250  2.667   12 1
1940 08 14 09.0 10.50  3148.37500  3148.43750  2.333    9 1
1940 08 14 12.0 13.50  3148.50000  3148.56250  2.333    9 1
1940 08 14 15.0 16.50  3148.62500  3148.68750  1.000    4 1
1940 08 14 18.0 19.50  3148.75000  3148.81250  0.667    3 1
1940 08 14 21.0 22.50  3148.87500  3148.93750  1.667    6 1
1940 08 15 00.0 01.50  3149.00000  3149.06250  1.333    5 1
1940 08 15 03.0 04.50  3149.12500  3149.18750  0.333    2 1
1940 08 15 06.0 07.50  3149.25000  3149.31250  1.000    4 1
1940 08 15 09.0 10.50  3149.37500  3149.43750  0.333    2 1
1940 08 15 12.0 13.50  3149.50000  3149.56250  0.667    3 1
1940 08 15 15.0 16.50  3149.62500  3149.68750  0.333    2 1
1940 08 15 18.0 19.50  3149.75000  3149.81250  0.333    2 1
1940 08 15 21.0 22.50  3149.87500  3149.93750  0.333    2 1
1940 08 16 00.0 01.50  3150.00000  3150.06250  0.333    2 1
1940 08 16 03.0 04.50  3150.12500  3150.18750  0.333    2 1
1940 08 16 06.0 07.50  3150.25000  3150.31250  2.000    7 1
1940 08 16 09.0 10.50  3150.37500  3150.43750  0.333    2 1
1940 08 16 12.0 13.50  3150.50000  3150.56250  0.333    2 1
1940 08 16 15.0 16.50  3150.62500  3150.68750  0.333    2 1
1940 08 16 18.0 19.50  3150.75000  3150.81250  1.000    4 1
1940 08 16 21.0 22.50  3150.87500  3150.93750  0.333    2 1
1940 08 17 00.0 01.50  3151.00000  3151.06250  0.667    3 1
1940 08 17 03.0 04.50  3151.12500  3151.18750  0.333    2 1
1940 08 17 06.0 07.50  3151.25000  3151.31250  0.333    2 1
1940 08 17 09.0 10.50  3151.37500  3151.43750  0.333    2 1
1940 08 17 12.0 13.50  3151.50000  3151.56250  0.333    2 1
1940 08 17 15.0 16.50  3151.62500  3151.68750  0.667    3 1
1940 08 17 18.0 19.50  3151.75000  3151.81250  1.000    4 1
1940 08 17 21.0 22.50  3151.87500  3151.93750  1.333    5 1
1940 08 18 00.0 01.50  3152.00000  3152.06250  0.667    3 1
1940 08 18 03.0 04.50  3152.12500  3152.18750  0.333    2 1
1940 08 18 06.0 07.50  3152.25000  3152.31250  1.000    4 1
1940 08 18 09.0 10.50  3152.37500  3152.43750  1.333    5 1
1940 08 18 12.0 13.50  3152.50000  3152.56250  2.333    9 1
1940 08 18 15.0 16.50  3152.62500  3152.68750  4.000   27 1
1940 08 18 18.0 19.50  3152.75000  3152.81250  3.667   22 1
1940 08 18 21.0 22.50  3152.87500  3152.93750  3.667   22 1
1940 08 19 00.0 01.50  3153.00000  3153.06250  1.667    6 1
1940 08 19 03.0 04.50  3153.12500  3153.18750  0.333    2 1
1940 08 19 06.0 07.50  3153.25000  3153.31250  1.000    4 1
1940 08 19 09.0 10.50  3153.37500  3153.43750  1.000    4 1
1940 08 19 12.0 13.50  3153.50000  3153.56250  2.333    9 1
1940 08 19 15.0 16.50  3153.62500  3153.68750  3.333   18 1
1940 08 19 18.0 19.50  3153.75000  3153.81250  3.000   15 1
1940 08 19 21.0 22.50  3153.87500  3153.93750  2.667   12 1
1940 08 20 00.0 01.50  3154.00000  3154.06250  3.000   15 1
1940 08 20 03.0 04.50  3154.12500  3154.18750  3.667   22 1
1940 08 20 06.0 07.50  3154.25000  3154.31250  2.667   12 1
1940 08 20 09.0 10.50  3154.37500  3154.43750  2.333    9 1
1940 08 20 12.0 13.50  3154.50000  3154.56250  2.333    9 1
1940 08 20 15.0 16.50  3154.62500  3154.68750  2.333    9 1
1940 08 20 18.0 19.50  3154.75000  3154.81250  2.000    7 1
1940 08 20 21.0 22.50  3154.87500  3154.93750  1.000    4 1
1940 08 21 00.0 01.50  3155.00000  3155.06250  2.000    7 1
1940 08 21 03.0 04.50  3155.12500  3155.18750  2.000    7 1
1940 08 21 06.0 07.50  3155.25000  3155.31250  0.667    3 1
1940 08 21 09.0 10.50  3155.37500  3155.43750  1.667    6 1
1940 08 21 12.0 13.50  3155.50000  3155.56250  2.333    9 1
1940 08 21 15.0 16.50  3155.62500  3155.68750  1.333    5 1
1940 08 21 18.0 19.50  3155.75000  3155.81250  1.333    5 1
1940 08 21 21.0 22.50  3155.87500  3155.93750  2.000    7 1
1940 08 22 00.0 01.50  3156.00000  3156.06250  2.333    9 1
1940 08 22 03.0 04.50  3156.12500  3156.18750  1.000    4 1
1940 08 22 06.0 07.50  3156.25000  3156.31250  1.333    5 1
1940 08 22 09.0 10.50  3156.37500  3156.43750  1.667    6 1
1940 08 22 12.0 13.50  3156.50000  3156.56250  1.667    6 1
1940 08 22 15.0 16.50  3156.62500  3156.68750  3.333   18 1
1940 08 22 18.0 19.50  3156.75000  3156.81250  3.333   18 1
1940 08 22 21.0 22.50  3156.87500  3156.93750  1.667    6 1
1940 08 23 00.0 01.50  3157.00000  3157.06250  2.333    9 1
1940 08 23 03.0 04.50  3157.12500  3157.18750  2.000    7 1
1940 08 23 06.0 07.50  3157.25000  3157.31250  1.333    5 1
1940 08 23 09.0 10.50  3157.37500  3157.43750  0.667    3 1
1940 08 23 12.0 13.50  3157.50000  3157.56250  1.000    4 1
1940 08 23 15.0 16.50  3157.62500  3157.68750  0.667    3 1
1940 08 23 18.0 19.50  3157.75000  3157.81250  2.000    7 1
1940 08 23 21.0 22.50  3157.87500  3157.93750  1.000    4 1
1940 08 24 00.0 01.50  3158.00000  3158.06250  0.333    2 1
1940 08 24 03.0 04.50  3158.12500  3158.18750  0.000    0 1
1940 08 24 06.0 07.50  3158.25000  3158.31250  0.333    2 1
1940 08 24 09.0 10.50  3158.37500  3158.43750  0.333    2 1
1940 08 24 12.0 13.50  3158.50000  3158.56250  0.333    2 1
1940 08 24 15.0 16.50  3158.62500  3158.68750  0.333    2 1
1940 08 24 18.0 19.50  3158.75000  3158.81250  0.333    2 1
1940 08 24 21.0 22.50  3158.87500  3158.93750  0.000    0 1
1940 08 25 00.0 01.50  3159.00000  3159.06250  0.000    0 1
1940 08 25 03.0 04.50  3159.12500  3159.18750  0.000    0 1
1940 08 25 06.0 07.50  3159.25000  3159.31250  0.000    0 1
1940 08 25 09.0 10.50  3159.37500  3159.43750  0.000    0 1
1940 08 25 12.0 13.50  3159.50000  3159.56250  0.667    3 1
1940 08 25 15.0 16.50  3159.62500  3159.68750  1.000    4 1
1940 08 25 18.0 19.50  3159.75000  3159.81250  2.333    9 1
1940 08 25 21.0 22.50  3159.87500  3159.93750  2.667   12 1
1940 08 26 00.0 01.50  3160.00000  3160.06250  2.333    9 1
1940 08 26 03.0 04.50  3160.12500  3160.18750  2.333    9 1
1940 08 26 06.0 07.50  3160.25000  3160.31250  1.000    4 1
1940 08 26 09.0 10.50  3160.37500  3160.43750  2.667   12 1
1940 08 26 12.0 13.50  3160.50000  3160.56250  3.000   15 1
1940 08 26 15.0 16.50  3160.62500  3160.68750  2.333    9 1
1940 08 26 18.0 19.50  3160.75000  3160.81250  4.000   27 1
1940 08 26 21.0 22.50  3160.87500  3160.93750  5.667   67 1
1940 08 27 00.0 01.50  3161.00000  3161.06250  3.667   22 1
1940 08 27 03.0 04.50  3161.12500  3161.18750  4.333   32 1
1940 08 27 06.0 07.50  3161.25000  3161.31250  2.667   12 1
1940 08 27 09.0 10.50  3161.37500  3161.43750  1.667    6 1
1940 08 27 12.0 13.50  3161.50000  3161.56250  1.333    5 1
1940 08 27 15.0 16.50  3161.62500  3161.68750  2.667   12 1
1940 08 27 18.0 19.50  3161.75000  3161.81250  1.667    6 1
1940 08 27 21.0 22.50  3161.87500  3161.93750  2.667   12 1
1940 08 28 00.0 01.50  3162.00000  3162.06250  3.000   15 1
1940 08 28 03.0 04.50  3162.12500  3162.18750  3.667   22 1
1940 08 28 06.0 07.50  3162.25000  3162.31250  2.667   12 1
1940 08 28 09.0 10.50  3162.37500  3162.43750  2.000    7 1
1940 08 28 12.0 13.50  3162.50000  3162.56250  2.000    7 1
1940 08 28 15.0 16.50  3162.62500  3162.68750  1.333    5 1
1940 08 28 18.0 19.50  3162.75000  3162.81250  2.000    7 1
1940 08 28 21.0 22.50  3162.87500  3162.93750  2.000    7 1
1940 08 29 00.0 01.50  3163.00000  3163.06250  3.333   18 1
1940 08 29 03.0 04.50  3163.12500  3163.18750  1.667    6 1
1940 08 29 06.0 07.50  3163.25000  3163.31250  2.000    7 1
1940 08 29 09.0 10.50  3163.37500  3163.43750  2.333    9 1
1940 08 29 12.0 13.50  3163.50000  3163.56250  3.333   18 1
1940 08 29 15.0 16.50  3163.62500  3163.68750  1.000    4 1
1940 08 29 18.0 19.50  3163.75000  3163.81250  1.000    4 1
1940 08 29 21.0 22.50  3163.87500  3163.93750  1.333    5 1
1940 08 30 00.0 01.50  3164.00000  3164.06250  1.333    5 1
1940 08 30 03.0 04.50  3164.12500  3164.18750  0.333    2 1
1940 08 30 06.0 07.50  3164.25000  3164.31250  0.000    0 1
1940 08 30 09.0 10.50  3164.37500  3164.43750  0.667    3 1
1940 08 30 12.0 13.50  3164.50000  3164.56250  1.000    4 1
1940 08 30 15.0 16.50  3164.62500  3164.68750  1.000    4 1
1940 08 30 18.0 19.50  3164.75000  3164.81250  2.000    7 1
1940 08 30 21.0 22.50  3164.87500  3164.93750  2.000    7 1
1940 08 31 00.0 01.50  3165.00000  3165.06250  2.000    7 1
1940 08 31 03.0 04.50  3165.12500  3165.18750  1.000    4 1
1940 08 31 06.0 07.50  3165.25000  3165.31250  1.000    4 1
1940 08 31 09.0 10.50  3165.37500  3165.43750  1.333    5 1
1940 08 31 12.0 13.50  3165.50000  3165.56250  1.667    6 1
1940 08 31 15.0 16.50  3165.62500  3165.68750  1.333    5 1
1940 08 31 18.0 19.50  3165.75000  3165.81250  1.333    5 1
1940 08 31 21.0 22.50  3165.87500  3165.93750  3.667   22 1
1940 09 01 00.0 01.50  3166.00000  3166.06250  4.000   27 1
1940 09 01 03.0 04.50  3166.12500  3166.18750  3.667   22 1
1940 09 01 06.0 07.50  3166.25000  3166.31250  3.667   22 1
1940 09 01 09.0 10.50  3166.37500  3166.43750  4.000   27 1
1940 09 01 12.0 13.50  3166.50000  3166.56250  5.000   48 1
1940 09 01 15.0 16.50  3166.62500  3166.68750  3.667   22 1
1940 09 01 18.0 19.50  3166.75000  3166.81250  1.667    6 1
1940 09 01 21.0 22.50  3166.87500  3166.93750  0.667    3 1
1940 09 02 00.0 01.50  3167.00000  3167.06250  0.333    2 1
1940 09 02 03.0 04.50  3167.12500  3167.18750  1.333    5 1
1940 09 02 06.0 07.50  3167.25000  3167.31250  2.000    7 1
1940 09 02 09.0 10.50  3167.37500  3167.43750  2.667   12 1
1940 09 02 12.0 13.50  3167.50000  3167.56250  2.667   12 1
1940 09 02 15.0 16.50  3167.62500  3167.68750  3.000   15 1
1940 09 02 18.0 19.50  3167.75000  3167.81250  3.333   18 1
1940 09 02 21.0 22.50  3167.87500  3167.93750  2.667   12 1
1940 09 03 00.0 01.50  3168.00000  3168.06250  4.000   27 1
1940 09 03 03.0 04.50  3168.12500  3168.18750  4.000   27 1
1940 09 03 06.0 07.50  3168.25000  3168.31250  3.667   22 1
1940 09 03 09.0 10.50  3168.37500  3168.43750  3.333   18 1
1940 09 03 12.0 13.50  3168.50000  3168.56250  3.667   22 1
1940 09 03 15.0 16.50  3168.62500  3168.68750  3.667   22 1
1940 09 03 18.0 19.50  3168.75000  3168.81250  3.333   18 1
1940 09 03 21.0 22.50  3168.87500  3168.93750  3.667   22 1
1940 09 04 00.0 01.50  3169.00000  3169.06250  4.333   32 1
1940 09 04 03.0 04.50  3169.12500  3169.18750  2.667   12 1
1940 09 04 06.0 07.50  3169.25000  3169.31250  2.667   12 1
1940 09 04 09.0 10.50  3169.37500  3169.43750  3.667   22 1
1940 09 04 12.0 13.50  3169.50000  3169.56250  2.000    7 1
1940 09 04 15.0 16.50  3169.62500  3169.68750  2.333    9 1
1940 09 04 18.0 19.50  3169.75000  3169.81250  2.333    9 1
1940 09 04 21.0 22.50  3169.87500  3169.93750  3.667   22 1
1940 09 05 00.0 01.50  3170.00000  3170.06250  3.333   18 1
1940 09 05 03.0 04.50  3170.12500  3170.18750  3.333   18 1
1940 09 05 06.0 07.50  3170.25000  3170.31250  2.333    9 1
1940 09 05 09.0 10.50  3170.37500  3170.43750  2.667   12 1
1940 09 05 12.0 13.50  3170.50000  3170.56250  2.000    7 1
1940 09 05 15.0 16.50  3170.62500  3170.68750  2.000    7 1
1940 09 05 18.0 19.50  3170.75000  3170.81250  2.667   12 1
1940 09 05 21.0 22.50  3170.87500  3170.93750  1.333    5 1
1940 09 06 00.0 01.50  3171.00000  3171.06250  2.333    9 1
1940 09 06 03.0 04.50  3171.12500  3171.18750  2.333    9 1
1940 09 06 06.0 07.50  3171.25000  3171.31250  1.667    6 1
1940 09 06 09.0 10.50  3171.37500  3171.43750  2.333    9 1
1940 09 06 12.0 13.50  3171.50000  3171.56250  2.333    9 1
1940 09 06 15.0 16.50  3171.62500  3171.68750  1.333    5 1
1940 09 06 18.0 19.50  3171.75000  3171.81250  1.000    4 1
1940 09 06 21.0 22.50  3171.87500  3171.93750  3.000   15 1
1940 09 07 00.0 01.50  3172.00000  3172.06250  4.333   32 1
1940 09 07 03.0 04.50  3172.12500  3172.18750  5.333   56 1
1940 09 07 06.0 07.50  3172.25000  3172.31250  4.667   39 1
1940 09 07 09.0 10.50  3172.37500  3172.43750  4.333   32 1
1940 09 07 12.0 13.50  3172.50000  3172.56250  3.333   18 1
1940 09 07 15.0 16.50  3172.62500  3172.68750  3.667   22 1
1940 09 07 18.0 19.50  3172.75000  3172.81250  1.333    5 1
1940 09 07 21.0 22.50  3172.87500  3172.93750  4.333   32 1
1940 09 08 00.0 01.50  3173.00000  3173.06250  3.333   18 1
1940 09 08 03.0 04.50  3173.12500  3173.18750  2.333    9 1
1940 09 08 06.0 07.50  3173.25000  3173.31250  2.000    7 1
1940 09 08 09.0 10.50  3173.37500  3173.43750  4.000   27 1
1940 09 08 12.0 13.50  3173.50000  3173.56250  3.667   22 1
1940 09 08 15.0 16.50  3173.62500  3173.68750  3.667   22 1
1940 09 08 18.0 19.50  3173.75000  3173.81250  1.667    6 1
1940 09 08 21.0 22.50  3173.87500  3173.93750  2.000    7 1
1940 09 09 00.0 01.50  3174.00000  3174.06250  3.667   22 1
1940 09 09 03.0 04.50  3174.12500  3174.18750  4.000   27 1
1940 09 09 06.0 07.50  3174.25000  3174.31250  2.667   12 1
1940 09 09 09.0 10.50  3174.37500  3174.43750  3.000   15 1
1940 09 09 12.0 13.50  3174.50000  3174.56250  2.333    9 1
1940 09 09 15.0 16.50  3174.62500  3174.68750  3.000   15 1
1940 09 09 18.0 19.50  3174.75000  3174.81250  3.667   22 1
1940 09 09 21.0 22.50  3174.87500  3174.93750  3.000   15 1
1940 09 10 00.0 01.50  3175.00000  3175.06250  1.667    6 1
1940 09 10 03.0 04.50  3175.12500  3175.18750  1.333    5 1
1940 09 10 06.0 07.50  3175.25000  3175.31250  1.000    4 1
1940 09 10 09.0 10.50  3175.37500  3175.43750  0.000    0 1
1940 09 10 12.0 13.50  3175.50000  3175.56250  0.000    0 1
1940 09 10 15.0 16.50  3175.62500  3175.68750  0.000    0 1
1940 09 10 18.0 19.50  3175.75000  3175.81250  0.333    2 1
1940 09 10 21.0 22.50  3175.87500  3175.93750  0.667    3 1
1940 09 11 00.0 01.50  3176.00000  3176.06250  0.333    2 1
1940 09 11 03.0 04.50  3176.12500  3176.18750  0.000    0 1
1940 09 11 06.0 07.50  3176.25000  3176.31250  0.333    2 1
1940 09 11 09.0 10.50  3176.37500  3176.43750  1.333    5 1
1940 09 11 12.0 13.50  3176.50000  3176.56250  1.333    5 1
1940 09 11 15.0 16.50  3176.62500  3176.68750  1.667    6 1
1940 09 11 18.0 19.50  3176.75000  3176.81250  1.000    4 1
1940 09 11 21.0 22.50  3176.87500  3176.93750  0.667    3 1
1940 09 12 00.0 01.50  3177.00000  3177.06250  1.333    5 1
1940 09 12 03.0 04.50  3177.12500  3177.18750  0.667    3 1
1940 09 12 06.0 07.50  3177.25000  3177.31250  1.000    4 1
1940 09 12 09.0 10.50  3177.37500  3177.43750  1.000    4 1
1940 09 12 12.0 13.50  3177.50000  3177.56250  1.000    4 1
1940 09 12 15.0 16.50  3177.62500  3177.68750  0.667    3 1
1940 09 12 18.0 19.50  3177.75000  3177.81250  1.000    4 1
1940 09 12 21.0 22.50  3177.87500  3177.93750  0.667    3 1
1940 09 13 00.0 01.50  3178.00000  3178.06250  0.333    2 1
1940 09 13 03.0 04.50  3178.12500  3178.18750  0.333    2 1
1940 09 13 06.0 07.50  3178.25000  3178.31250  0.333    2 1
1940 09 13 09.0 10.50  3178.37500  3178.43750  0.333    2 1
1940 09 13 12.0 13.50  3178.50000  3178.56250  1.333    5 1
1940 09 13 15.0 16.50  3178.62500  3178.68750  2.000    7 1
1940 09 13 18.0 19.50  3178.75000  3178.81250  1.333    5 1
1940 09 13 21.0 22.50  3178.87500  3178.93750  0.333    2 1
1940 09 14 00.0 01.50  3179.00000  3179.06250  2.000    7 1
1940 09 14 03.0 04.50  3179.12500  3179.18750  2.667   12 1
1940 09 14 06.0 07.50  3179.25000  3179.31250  1.000    4 1
1940 09 14 09.0 10.50  3179.37500  3179.43750  0.667    3 1
1940 09 14 12.0 13.50  3179.50000  3179.56250  2.000    7 1
1940 09 14 15.0 16.50  3179.62500  3179.68750  3.000   15 1
1940 09 14 18.0 19.50  3179.75000  3179.81250  5.333   56 1
1940 09 14 21.0 22.50  3179.87500  3179.93750  3.333   18 1
1940 09 15 00.0 01.50  3180.00000  3180.06250  1.333    5 1
1940 09 15 03.0 04.50  3180.12500  3180.18750  3.667   22 1
1940 09 15 06.0 07.50  3180.25000  3180.31250  3.000   15 1
1940 09 15 09.0 10.50  3180.37500  3180.43750  2.333    9 1
1940 09 15 12.0 13.50  3180.50000  3180.56250  2.667   12 1
1940 09 15 15.0 16.50  3180.62500  3180.68750  2.333    9 1
1940 09 15 18.0 19.50  3180.75000  3180.81250  3.000   15 1
1940 09 15 21.0 22.50  3180.87500  3180.93750  1.333    5 1
1940 09 16 00.0 01.50  3181.00000  3181.06250  1.000    4 1
1940 09 16 03.0 04.50  3181.12500  3181.18750  2.333    9 1
1940 09 16 06.0 07.50  3181.25000  3181.31250  2.000    7 1
1940 09 16 09.0 10.50  3181.37500  3181.43750  1.000    4 1
1940 09 16 12.0 13.50  3181.50000  3181.56250  4.000   27 1
1940 09 16 15.0 16.50  3181.62500  3181.68750  4.333   32 1
1940 09 16 18.0 19.50  3181.75000  3181.81250  2.000    7 1
1940 09 16 21.0 22.50  3181.87500  3181.93750  0.667    3 1
1940 09 17 00.0 01.50  3182.00000  3182.06250  0.333    2 1
1940 09 17 03.0 04.50  3182.12500  3182.18750  0.333    2 1
1940 09 17 06.0 07.50  3182.25000  3182.31250  0.333    2 1
1940 09 17 09.0 10.50  3182.37500  3182.43750  1.000    4 1
1940 09 17 12.0 13.50  3182.50000  3182.56250  0.333    2 1
1940 09 17 15.0 16.50  3182.62500  3182.68750  0.333    2 1
1940 09 17 18.0 19.50  3182.75000  3182.81250  0.667    3 1
1940 09 17 21.0 22.50  3182.87500  3182.93750  1.333    5 1
1940 09 18 00.0 01.50  3183.00000  3183.06250  0.333    2 1
1940 09 18 03.0 04.50  3183.12500  3183.18750  0.333    2 1
1940 09 18 06.0 07.50  3183.25000  3183.31250  1.000    4 1
1940 09 18 09.0 10.50  3183.37500  3183.43750  0.667    3 1
1940 09 18 12.0 13.50  3183.50000  3183.56250  0.333    2 1
1940 09 18 15.0 16.50  3183.62500  3183.68750  0.667    3 1
1940 09 18 18.0 19.50  3183.75000  3183.81250  1.667    6 1
1940 09 18 21.0 22.50  3183.87500  3183.93750  1.333    5 1
1940 09 19 00.0 01.50  3184.00000  3184.06250  1.333    5 1
1940 09 19 03.0 04.50  3184.12500  3184.18750  0.667    3 1
1940 09 19 06.0 07.50  3184.25000  3184.31250  0.667    3 1
1940 09 19 09.0 10.50  3184.37500  3184.43750  0.667    3 1
1940 09 19 12.0 13.50  3184.50000  3184.56250  1.000    4 1
1940 09 19 15.0 16.50  3184.62500  3184.68750  0.333    2 1
1940 09 19 18.0 19.50  3184.75000  3184.81250  0.333    2 1
1940 09 19 21.0 22.50  3184.87500  3184.93750  0.333    2 1
1940 09 20 00.0 01.50  3185.00000  3185.06250  0.333    2 1
1940 09 20 03.0 04.50  3185.12500  3185.18750  1.000    4 1
1940 09 20 06.0 07.50  3185.25000  3185.31250  1.667    6 1
1940 09 20 09.0 10.50  3185.37500  3185.43750  2.333    9 1
1940 09 20 12.0 13.50  3185.50000  3185.56250  3.667   22 1
1940 09 20 15.0 16.50  3185.62500  3185.68750  3.333   18 1
1940 09 20 18.0 19.50  3185.75000  3185.81250  2.333    9 1
1940 09 20 21.0 22.50  3185.87500  3185.93750  2.333    9 1
1940 09 21 00.0 01.50  3186.00000  3186.06250  2.333    9 1
1940 09 21 03.0 04.50  3186.12500  3186.18750  2.333    9 1
1940 09 21 06.0 07.50  3186.25000  3186.31250  2.667   12 1
1940 09 21 09.0 10.50  3186.37500  3186.43750  4.000   27 1
1940 09 21 12.0 13.50  3186.50000  3186.56250  3.667   22 1
1940 09 21 15.0 16.50  3186.62500  3186.68750  3.000   15 1
1940 09 21 18.0 19.50  3186.75000  3186.81250  1.333    5 1
1940 09 21 21.0 22.50  3186.87500  3186.93750  1.333    5 1
1940 09 22 00.0 01.50  3187.00000  3187.06250  0.333    2 1
1940 09 22 03.0 04.50  3187.12500  3187.18750  0.333    2 1
1940 09 22 06.0 07.50  3187.25000  3187.31250  1.667    6 1
1940 09 22 09.0 10.50  3187.37500  3187.43750  3.000   15 1
1940 09 22 12.0 13.50  3187.50000  3187.56250  3.000   15 1
1940 09 22 15.0 16.50  3187.62500  3187.68750  1.667    6 1
1940 09 22 18.0 19.50  3187.75000  3187.81250  2.333    9 1
1940 09 22 21.0 22.50  3187.87500  3187.93750  1.333    5 1
1940 09 23 00.0 01.50  3188.00000  3188.06250  0.667    3 1
1940 09 23 03.0 04.50  3188.12500  3188.18750  0.000    0 1
1940 09 23 06.0 07.50  3188.25000  3188.31250  0.000    0 1
1940 09 23 09.0 10.50  3188.37500  3188.43750  0.333    2 1
1940 09 23 12.0 13.50  3188.50000  3188.56250  1.000    4 1
1940 09 23 15.0 16.50  3188.62500  3188.68750  0.333    2 1
1940 09 23 18.0 19.50  3188.75000  3188.81250  0.333    2 1
1940 09 23 21.0 22.50  3188.87500  3188.93750  0.667    3 1
1940 09 24 00.0 01.50  3189.00000  3189.06250  0.667    3 1
1940 09 24 03.0 04.50  3189.12500  3189.18750  1.333    5 1
1940 09 24 06.0 07.50  3189.25000  3189.31250  0.000    0 1
1940 09 24 09.0 10.50  3189.37500  3189.43750  0.333    2 1
1940 09 24 12.0 13.50  3189.50000  3189.56250  0.000    0 1
1940 09 24 15.0 16.50  3189.62500  3189.68750  0.333    2 1
1940 09 24 18.0 19.50  3189.75000  3189.81250  1.000    4 1
1940 09 24 21.0 22.50  3189.87500  3189.93750  2.667   12 1
1940 09 25 00.0 01.50  3190.00000  3190.06250  3.000   15 1
1940 09 25 03.0 04.50  3190.12500  3190.18750  4.000   27 1
1940 09 25 06.0 07.50  3190.25000  3190.31250  3.667   22 1
1940 09 25 09.0 10.50  3190.37500  3190.43750  3.667   22 1
1940 09 25 12.0 13.50  3190.50000  3190.56250  2.667   12 1
1940 09 25 15.0 16.50  3190.62500  3190.68750  4.000   27 1
1940 09 25 18.0 19.50  3190.75000  3190.81250  3.667   22 1
1940 09 25 21.0 22.50  3190.87500  319
